[1-0]R=928016; MaxAge=939; Cached=1, Rsp=0.000218;(0.000000)(0.000000)(0.000000)(0.000216)
[1-0]R=928017; MaxAge=974; Cached=0, Rsp=0.025793;(0.012238)(0.005103)(0.008186)(0.000266)
[1-0]R=928019; MaxAge=960; Cached=0, Rsp=0.025976;(0.012247)(0.005125)(0.008211)(0.000393)
[1-0]R=928019; MaxAge=960; Cached=1, Rsp=0.000160;(0.000000)(0.000000)(0.000000)(0.000158)
[1-0]R=928020; MaxAge=940; Cached=0, Rsp=0.025846;(0.012244)(0.005123)(0.008215)(0.000264)
[1-0]R=928020; MaxAge=940; Cached=1, Rsp=0.000204;(0.000000)(0.000000)(0.000000)(0.000202)
[1-0]R=928020; MaxAge=940; Cached=1, Rsp=0.000131;(0.000000)(0.000000)(0.000000)(0.000129)
[1-0]R=928020; MaxAge=940; Cached=1, Rsp=0.000451;(0.000000)(0.000000)(0.000000)(0.000450)
[1-0]R=928020; MaxAge=940; Cached=1, Rsp=0.000688;(0.000000)(0.000000)(0.000000)(0.000686)
[1-0]R=928023; MaxAge=931; Cached=0, Rsp=0.025836;(0.012241)(0.005123)(0.008190)(0.000282)
[1-0]R=928024; MaxAge=966; Cached=0, Rsp=0.025840;(0.012241)(0.005125)(0.008212)(0.000262)
[1-0]R=928024; MaxAge=966; Cached=1, Rsp=0.000171;(0.000000)(0.000000)(0.000000)(0.000169)
[1-0]R=928024; MaxAge=966; Cached=1, Rsp=0.000308;(0.000000)(0.000000)(0.000000)(0.000307)
[1-0]R=928024; MaxAge=966; Cached=1, Rsp=0.000559;(0.000000)(0.000000)(0.000000)(0.000557)
[1-0]R=928026; MaxAge=951; Cached=1, Rsp=0.000158;(0.000000)(0.000000)(0.000000)(0.000156)
[1-0]R=928026; MaxAge=951; Cached=0, Rsp=0.026031;(0.012242)(0.005104)(0.008214)(0.000471)
[1-0]R=928026; MaxAge=951; Cached=1, Rsp=0.000268;(0.000000)(0.000000)(0.000000)(0.000266)
[1-0]R=928028; MaxAge=937; Cached=0, Rsp=0.025941;(0.012238)(0.005124)(0.008208)(0.000371)
[1-0]R=928028; MaxAge=937; Cached=1, Rsp=0.000158;(0.000000)(0.000000)(0.000000)(0.000156)
[1-0]R=928029; MaxAge=972; Cached=1, Rsp=0.000138;(0.000000)(0.000000)(0.000000)(0.000136)
[1-0]R=928029; MaxAge=972; Cached=1, Rsp=0.000388;(0.000000)(0.000000)(0.000000)(0.000386)
[1-0]R=928032; MaxAge=963; Cached=0, Rsp=0.025895;(0.012248)(0.005106)(0.008238)(0.000303)
[1-0]R=928032; MaxAge=963; Cached=1, Rsp=0.000137;(0.000000)(0.000000)(0.000000)(0.000135)
[1-0]R=928032; MaxAge=963; Cached=1, Rsp=0.000361;(0.000000)(0.000000)(0.000000)(0.000359)
[1-0]R=928032; MaxAge=963; Cached=1, Rsp=0.000286;(0.000000)(0.000000)(0.000000)(0.000284)
[1-0]R=928034; MaxAge=948; Cached=0, Rsp=0.025938;(0.012244)(0.005125)(0.008195)(0.000374)
[1-0]R=928034; MaxAge=948; Cached=1, Rsp=0.000408;(0.000000)(0.000000)(0.000000)(0.000406)
[1-0]R=928036; MaxAge=934; Cached=0, Rsp=0.025865;(0.012247)(0.005126)(0.008227)(0.000265)
[1-0]R=928036; MaxAge=934; Cached=1, Rsp=0.000210;(0.000000)(0.000000)(0.000000)(0.000208)
[1-0]R=928038; MaxAge=975; Cached=0, Rsp=0.025808;(0.012222)(0.005121)(0.008203)(0.000262)
[1-0]R=928038; MaxAge=975; Cached=1, Rsp=0.000161;(0.000000)(0.000000)(0.000000)(0.000159)
[1-0]R=928039; MaxAge=954; Cached=0, Rsp=0.025940;(0.012255)(0.005109)(0.008206)(0.000370)
[1-0]R=928039; MaxAge=954; Cached=1, Rsp=0.000161;(0.000000)(0.000000)(0.000000)(0.000159)
[1-0]R=928040; MaxAge=934; Cached=0, Rsp=0.025814;(0.012243)(0.005105)(0.008211)(0.000255)
[1-0]R=928040; MaxAge=934; Cached=1, Rsp=0.000148;(0.000000)(0.000000)(0.000000)(0.000146)
[1-0]R=928044; MaxAge=931; Cached=1, Rsp=0.000162;(0.000000)(0.000000)(0.000000)(0.000159)
[1-0]R=928044; MaxAge=931; Cached=1, Rsp=0.000332;(0.000000)(0.000000)(0.000000)(0.000331)
[1-0]R=928044; MaxAge=931; Cached=1, Rsp=0.000137;(0.000000)(0.000000)(0.000000)(0.000135)
[1-0]R=928044; MaxAge=931; Cached=1, Rsp=0.000370;(0.000000)(0.000000)(0.000000)(0.000368)
[1-0]R=928044; MaxAge=931; Cached=1, Rsp=0.000696;(0.000000)(0.000000)(0.000000)(0.000695)
[1-0]R=928044; MaxAge=931; Cached=0, Rsp=0.026721;(0.012242)(0.005125)(0.008195)(0.001159)
[1-0]R=928048; MaxAge=928; Cached=1, Rsp=0.000161;(0.000000)(0.000000)(0.000000)(0.000159)
[1-0]R=928049; MaxAge=963; Cached=0, Rsp=0.025938;(0.012241)(0.005116)(0.008192)(0.000389)
[1-0]R=928049; MaxAge=963; Cached=1, Rsp=0.000188;(0.000000)(0.000000)(0.000000)(0.000186)
[1-0]R=928050; MaxAge=943; Cached=0, Rsp=0.025930;(0.012226)(0.005125)(0.008212)(0.000367)
[1-0]R=928050; MaxAge=943; Cached=1, Rsp=0.000159;(0.000000)(0.000000)(0.000000)(0.000156)
[1-0]R=928052; MaxAge=929; Cached=0, Rsp=0.025826;(0.012242)(0.005126)(0.008197)(0.000261)
[1-0]R=928054; MaxAge=970; Cached=0, Rsp=0.025862;(0.012246)(0.005126)(0.008210)(0.000280)
